,Index,Bond length 1,Bond length 2,Length 3,Bond name,Bond Angle
175,133 137 140,1.6246297163253085,1.6255956859490672,3.0813871198695257,Si-O-Si,2.4941192810978854
177,138 135 157,1.5951653872644147,1.5804218658815339,3.103271399851181,Si-O-Si,2.7139489285252716
178,138 141 142,1.6161152122709295,1.6186836766061168,3.045873117314856,Si-O-Si,2.4546763610022575
179,138 145 151,1.6202120732285057,1.6138199961793933,3.1497304288944394,Si-O-Si,2.6839361402217
181,140 143 142,1.5994053067232825,1.6195655129374482,3.0803690433162587,Si-O-Si,2.5525450313215643
182,140 149 213,1.600042539968093,1.601248414739196,2.9750230897616543,Si-O-Si,2.385133119779149
183,140 152 205,1.6114491270548807,1.6115049189418928,2.958375786933411,Si-O-Si,2.325552045038097
184,142 139 154,1.6256921144391536,1.6237444000820744,3.190283685470097,Si-O-Si,2.759393395330909
187,142 146 147,1.6111042854094142,1.620742709419741,3.0539762786952105,Si-O-Si,2.474960757301881
188,147 144 156,1.6255992696974058,1.6138981051172017,3.0027413722100436,Si-O-Si,2.372212757323458
191,147 150 209,1.620498178634236,1.6126537796876437,3.1060768883914447,Si-O-Si,2.5789971718474423
194,151 153 205,1.622780423463105,1.6073513770830181,3.035429629818683,Si-O-Si,2.443631194159908
195,151 155 156,1.587879016148726,1.601047360276213,3.154287729452241,Si-O-Si,2.8465391085902687
199,154 189 190,1.6438860810237432,1.6301117317383966,3.1084529166008585,Si-O-Si,2.5028662959419
205,157 182 176,1.6055050217553213,1.6099386453068096,2.7577533886430716,Si-O-Si,2.0613972862129213
206,157 203 206,1.6028550660480954,1.60373362757698,3.072135282134251,Si-O-Si,2.560375253755694
207,157 207 205,1.6108194328876244,1.600087634106681,2.8972756223311693,Si-O-Si,2.2502521661024617
211,163 175 174,1.5958810740981937,1.6311530286805296,3.0899884460771108,Si-O-Si,2.556598345697051
212,166 164 167,1.6048954774666142,1.60874757635863,2.8854629378253986,Si-O-Si,2.2298553357270388
213,166 165 176,1.6006103949756063,1.6065955703618728,2.9080563845861964,Si-O-Si,2.270906701582115
214,166 171 170,1.592169947282828,1.600688115659,3.030854866520791,Si-O-Si,2.501751428156988
215,166 179 185,1.5983481081777553,1.610803300124217,3.0592590292782105,Si-O-Si,2.527903963758872
219,167 178 187,1.6133467342130428,1.6278038092299973,3.0611984898508724,Si-O-Si,2.4720034690883192
222,169 172 170,1.5950005250085408,1.5858844311023874,2.9609431278429033,Si-O-Si,2.3934893440679685
223,169 181 200,1.6086134758827202,1.6010393756015455,3.159841776390308,Si-O-Si,2.788780608755638
224,170 168 174,1.5862308567332781,1.6301100395426698,2.9809579913996576,Si-O-Si,2.3716137509562474
231,174 180 187,1.6634091825282915,1.6074791007497047,3.115948078007315,Si-O-Si,2.523449238154602
235,176 184 200,1.6006376665764175,1.593689685316099,3.1769140169852124,Si-O-Si,2.932665552392624
238,185 161 206,1.6048686697184245,1.6024413322051867,2.995888164401304,Si-O-Si,2.4113543301990763
242,187 192 215,1.6246586903932845,1.6169878420103256,3.199396686600301,Si-O-Si,2.8183350248063217
243,187 214 202,1.5998144698391097,1.584312530248264,3.0334439400390654,Si-O-Si,2.523839352251837
247,190 195 198,1.6019554656741606,1.6027410772618147,3.0542523051602033,Si-O-Si,2.5263405059905946
249,196 91 212,1.6028691290099746,1.6132264494305995,3.0215996394234894,Si-O-Si,2.4424730038795603
251,196 197 209,1.6464199646346562,1.6550289507025595,3.011272488990454,Si-O-Si,2.2967830315866062
252,198 193 202,1.5990215567914214,1.5928511255715236,3.1616761190386757,Si-O-Si,2.866268210017803
253,198 194 209,1.612841448701268,1.609877350068207,3.038057344599373,Si-O-Si,2.461265207572537
255,198 211 200,1.6088284923121958,1.6164526333643578,2.8692425728389286,Si-O-Si,2.192978534411555
258,200 210 206,1.6458041819516442,1.6409288934131754,3.0663539496348866,Si-O-Si,2.4050370139863775
260,202 191 205,1.629552363251521,1.6029412931511642,2.9858099635621342,Si-O-Si,2.35515688074559
262,202 204 213,1.604934029043208,1.6045623794039172,3.187097275936225,Si-O-Si,2.9051667531305445
275,209 208 212,1.6260380307348088,1.5976644965105442,2.9123819852353585,Si-O-Si,2.2553593406913084
288,7 0 3,1.6301185938865639,1.619761942546702,2.760150536063427,O-Si-O,2.0293409465037295
289,11 0 3,1.6045247361191397,1.619761942546702,2.6852110996119603,O-Si-O,1.9683066358645858
290,21 0 3,1.6192453809412082,1.619761942546702,2.56235131380582,O-Si-O,1.8251827774064904
292,11 0 7,1.6045247361191397,1.6301185938865639,2.5622007702266782,O-Si-O,1.828475607785041
293,21 0 7,1.6192453809412082,1.6301185938865639,2.630244967892041,O-Si-O,1.886471144064013
296,21 0 11,1.6192453809412082,1.6045247361191397,2.6458794977937417,O-Si-O,1.9253983117128983
300,5 1 2,1.6182631397549736,1.6185801498762606,2.627296084152902,O-Si-O,1.89406119516981
