,Index,Name,Bond length
422,52 84,Si O,1.6215377743354997
423,52 97,Si O,1.6322815847886047
424,52 100,Si Si,3.2029113911206104
425,52 151,Si Si,3.049476671003367
426,53 0,Si Si,2.942951827074104
427,53 21,Si O,1.6175447983479396
428,53 52,Si Si,3.1909044047613646
429,53 58,Si O,1.610340919271337
430,53 81,Si Si,3.0205795187578848
431,53 84,Si O,1.621747103848639
432,53 127,Si Si,3.048736018946055
433,53 130,Si O,1.6374928854970665
434,54 5,O O,2.6140556474995247
435,54 18,O Si,1.5909867741879495
436,54 25,O O,2.530358776286625
437,54 32,O O,2.679552620530693
438,54 57,O O,2.644756524542683
439,54 73,O O,2.5840253658376064
440,54 75,O Si,1.5980277133562864
441,54 99,O O,2.5465156122388235
442,55 4,O O,2.6972758157758157
443,55 6,O O,2.688374993420182
444,55 10,O Si,1.6217826344602406
445,55 11,O O,2.6056322246017563
446,55 67,O O,2.679686255515
447,55 69,O O,2.6771708865704347
448,55 70,O Si,1.6225675641574226
449,55 74,O O,2.6187241985692773
450,56 58,O O,2.668947823951626
451,56 60,O O,2.5100963252203603
452,56 61,O O,2.68860571351408
453,56 64,O Si,1.5959838812613063
454,56 78,O O,2.6433828644108974
455,56 79,O O,2.5255155868490777
456,56 81,O Si,1.5912264097629487
457,56 177,O O,2.6111516873979235
458,57 54,O O,2.644756524542683
459,57 71,O O,2.5387705146557695
460,57 73,O O,2.6158036556099056
461,57 75,O Si,1.5854671109615652
462,57 83,O Si,1.5989787857456932
463,57 99,O O,2.646293348903679
464,57 173,O O,2.6263817415463464
465,57 186,O O,2.6192388594874196
466,58 21,O O,2.627085347424894
467,58 53,O Si,1.610340919271337
468,58 56,O O,2.668947823951626
469,58 79,O O,2.629705258502908
470,58 81,O Si,1.608750000707658
471,58 84,O O,2.5730440273818975
472,58 130,O O,2.6688589489760717
473,58 177,O O,2.5598695068080506
474,59 8,O O,2.6438671260357522
475,59 20,O Si,1.6231459304732327
476,59 22,O O,2.7065915372816742
477,59 24,O O,2.6313611315209053
478,59 61,O O,2.6394585144815568
479,59 62,O O,2.648087941487583
480,59 63,O Si,1.6200704010928093
481,59 72,O O,2.702817719823288
482,60 56,O O,2.5100963252203603
483,60 61,O O,2.6478555563339112
484,60 64,O Si,1.6086032529531948
485,60 68,O Si,1.6022835883728845
486,60 69,O O,2.5638497338424657
487,60 76,O O,2.5848155757282485
488,60 78,O O,2.650535211678052
489,60 82,O O,2.633479798923051
490,61 56,O O,2.68860571351408
491,61 59,O O,2.6394585144815568
492,61 60,O O,2.6478555563339112
493,61 62,O O,2.604284780811442
494,61 63,O Si,1.6150439403787569
495,61 64,O Si,1.6182036187745499
496,61 72,O O,2.5934254444317855
497,61 78,O O,2.565903683999352
498,62 59,O O,2.648087941487583
499,62 61,O O,2.604284780811442
500,62 63,O Si,1.6414124678334578
501,62 65,O Si,1.6337116506271399
502,62 66,O O,2.682865736685416
503,62 67,O O,2.7127374810250333
504,62 71,O O,2.679197055091374
505,62 72,O O,2.766596549384076
506,63 20,Si Si,3.182802290354535
507,63 59,Si O,1.6200704010928093
508,63 61,Si O,1.6150439403787569
509,63 62,Si O,1.6414124678334578
510,63 64,Si Si,2.993323820136464
511,63 65,Si Si,3.15616181468035
512,63 72,Si O,1.6410199785041377
513,63 87,Si Si,3.2588182851810443
514,64 56,Si O,1.5959838812613063
515,64 60,Si O,1.6086032529531948
516,64 61,Si O,1.6182036187745499
517,64 63,Si Si,2.993323820136464
518,64 68,Si Si,2.9220072368584313
519,64 78,Si O,1.591603262249675
520,64 81,Si Si,3.120867269851941
521,64 163,Si Si,3.1214777739678006
522,65 62,Si O,1.6337116506271399
523,65 63,Si Si,3.15616181468035
524,65 66,Si O,1.6196470777952612
525,65 67,Si O,1.6219279403026112
526,65 70,Si Si,3.1869900417130483
527,65 71,Si O,1.6255821825703343
528,65 83,Si Si,3.049890044523737
529,65 185,Si Si,3.027391635506602
530,66 62,O O,2.682865736685416
531,66 65,O Si,1.6196470777952612
532,66 67,O O,2.5888794146550937
533,66 71,O O,2.602906788383796
534,66 132,O O,2.6986453233874528
535,66 161,O O,2.585768862810715
536,66 179,O O,2.6598884592418055
537,66 185,O Si,1.6127337483017365
538,67 55,O O,2.679686255515
539,67 62,O O,2.7127374810250333
540,67 65,O Si,1.6219279403026112
541,67 66,O O,2.5888794146550937
542,67 69,O O,2.6008331231717863
543,67 70,O Si,1.6238207003396983
544,67 71,O O,2.6497096754424905
545,67 74,O O,2.7329471960024097
546,68 60,Si O,1.6022835883728845
547,68 64,Si Si,2.9220072368584313
548,68 69,Si O,1.6069761541539018
549,68 70,Si Si,2.9547829673754573
550,68 76,Si O,1.597579641776407
551,68 77,Si Si,2.975066767120902
552,68 82,Si O,1.5773659723444795
553,68 215,Si Si,3.156180386435746
554,69 55,O O,2.6771708865704347
555,69 60,O O,2.5638497338424657
556,69 67,O O,2.6008331231717863
557,69 68,O Si,1.6069761541539018
558,69 70,O Si,1.6109008238691955
559,69 74,O O,2.5211227825798224
560,69 76,O O,2.694685515620569
561,69 82,O O,2.600641057208424
562,70 10,Si Si,3.135288770617619
563,70 55,Si O,1.6225675641574226
