,Index,Bond length 1,Bond length 2,Bond length 3,Dihedral angle,Bond name
571,113 121 159 169,1.6138551393017166,1.5751784643662838,1.5746779288243526,167.98647575899778,O Si O Si
572,136 121 159 169,1.6180594665819237,1.5751784643662838,1.5746779288243526,-72.96848390465367,O Si O Si
573,121 159 169 160,1.5751784643662838,1.5746779288243526,1.6185917506324659,165.26210837178758,Si O Si O
574,121 159 169 172,1.5751784643662838,1.5746779288243526,1.5950005250085408,-76.13948837614997,Si O Si O
575,121 159 169 181,1.5751784643662838,1.5746779288243526,1.6086134758827202,36.481377298820576,Si O Si O
576,126 123 122 133,1.638098523224906,1.6295087324269142,1.6222038526260434,-112.76814203015886,O Si O Si
577,162 123 122 133,1.616673103291936,1.6295087324269142,1.6222038526260434,2.20807644729812,O Si O Si
578,183 123 122 133,1.6398734169090907,1.6295087324269142,1.6222038526260434,114.99975097531289,O Si O Si
579,123 122 133 124,1.6295087324269142,1.6222038526260434,1.5974775903028062,104.17762261899922,Si O Si O
580,123 122 133 128,1.6295087324269142,1.6222038526260434,1.6399082261021134,-21.187619320844977,Si O Si O
581,123 122 133 137,1.6295087324269142,1.6222038526260434,1.6246297163253085,-138.73792675465822,Si O Si O
582,122 123 126 127,1.6295087324269142,1.638098523224906,1.6541505563532344,105.68910592484093,O Si O Si
583,162 123 126 127,1.616673103291936,1.638098523224906,1.6541505563532344,-11.652969385423985,O Si O Si
584,183 123 126 127,1.6398734169090907,1.638098523224906,1.6541505563532344,-131.91516928427686,O Si O Si
585,123 126 127 7,1.638098523224906,1.6541505563532344,1.6385892430974696,170.94735681274784,Si O Si O
586,123 126 127 119,1.638098523224906,1.6541505563532344,1.6277105654167185,-66.69158949360417,Si O Si O
587,123 126 127 130,1.638098523224906,1.6541505563532344,1.6466811558661798,60.70048179107688,Si O Si O
588,122 123 162 167,1.6295087324269142,1.616673103291936,1.6213134502159778,23.42345566484975,O Si O Si
589,126 123 162 167,1.638098523224906,1.616673103291936,1.6213134502159778,144.88750386116254,O Si O Si
590,183 123 162 167,1.6398734169090907,1.616673103291936,1.6213134502159778,-85.92941418897075,O Si O Si
591,123 162 167 128,1.616673103291936,1.6213134502159778,1.6335964707236696,-21.27140204765675,Si O Si O
592,123 162 167 164,1.616673103291936,1.6213134502159778,1.60874757635863,-141.02082441751432,Si O Si O
593,123 162 167 178,1.616673103291936,1.6213134502159778,1.6133467342130428,104.74205635734852,Si O Si O
594,122 123 183 215,1.6295087324269142,1.6398734169090907,1.6381140129189824,-80.91394770687351,O Si O Si
595,126 123 183 215,1.638098523224906,1.6398734169090907,1.6381140129189824,151.14885780727735,O Si O Si
596,162 123 183 215,1.616673103291936,1.6398734169090907,1.6381140129189824,32.48527923416081,O Si O Si
597,123 183 215 82,1.6398734169090907,1.6381140129189824,1.5855747747869082,-120.47155059670295,Si O Si O
