,Index,Bond length 1,Bond length 2,Length 3,Bond name,Bond Angle
93,75 57 83,1.5854671109615652,1.5989787857456932,3.180440025385219,Si O Si,174.2515780935421
94,75 73 77,1.6029382747922778,1.6133013787458534,2.844396622702938,Si O Si,124.35174606882624
95,75 99 86,1.6022452472098065,1.5923040618247564,2.896098683888384,Si O Si,130.07225704885656
99,77 101 96,1.6053650403692683,1.5946995298337647,2.9379437749816497,Si O Si,133.29627070869168
101,80 105 86,1.6307035342481844,1.6107353912081765,3.088573675474123,Si O Si,144.66677171421787
102,80 186 83,1.6135138021406057,1.6226854093264402,2.9278298468877137,Si O Si,129.5689594959542
103,80 199 213,1.6054828478489107,1.6092172383486165,2.9020724610657296,Si O Si,129.0439863205207
106,81 79 87,1.6111632027255,1.6199695398616896,2.997100090544835,Si O Si,136.11793884976677
107,81 177 176,1.6038636754827862,1.5953099776150732,3.0559469173842104,Si O Si,145.5811695286173
110,83 173 170,1.5949542887397965,1.6097549996995908,3.0746012813109043,Si O Si,147.23497765815688
113,85 92 213,1.6164229692593004,1.621776855799016,3.0538912491521106,Si O Si,141.15179783279962
114,85 106 90,1.6140321351709566,1.5966998948457407,3.023493433974839,Si O Si,140.67186513692508
115,85 201 206,1.6304220406487597,1.631802263244932,2.9793382753604867,Si O Si,131.92647446426557
117,86 104 90,1.6051571745531577,1.614743042422612,2.911435562983989,Si O Si,129.4314112586866
119,86 108 190,1.629266718517483,1.633493257250732,3.018010982932067,Si O Si,135.33278900191826
122,87 94 196,1.6668726068791107,1.646313038575786,3.0136361474652524,Si O Si,130.89613505854618
123,87 102 88,1.6061690311640946,1.6028746442569706,3.1375243202146668,Si O Si,155.76172312521507
124,88 95 100,1.63626247762701,1.6360909604223606,2.99921282432364,Si O Si,132.84813934377738
126,88 103 96,1.6235058801975821,1.6161520299654664,3.0006213137157163,Si O Si,135.70459760823536
127,88 107 90,1.5925456446899584,1.5870533458954321,2.8841612449932024,Si O Si,130.2106225218616
128,90 93 190,1.6179700202059797,1.630565566447974,2.9565142999001144,Si O Si,131.03983481280375
133,96 89 212,1.6403311224672308,1.618705854117524,2.873660241932898,Si O Si,123.70735901791902
138,100 98 215,1.6364735918302602,1.645380262019113,3.097466016012628,Si O Si,141.4050529623316
139,100 188 212,1.6391739730860089,1.6192888119822137,3.010868837460709,Si O Si,135.03973096241845
140,110 109 112,1.5729654717571397,1.8235989671672497,3.304265335284666,Si O Si,153.15010668491738
141,110 111 117,1.6485663611522168,1.6118385124800387,3.1771101024809574,Si O Si,154.04041662045142
142,110 113 121,1.6604748343231899,1.6138551393017166,2.9639736479130314,Si O Si,129.69914325270994
145,112 116 115,1.6783927731167623,1.5894971776026385,3.2011269106517615,Si O Si,156.78829090420334
146,112 120 125,1.6469833329144858,1.5591542645192331,3.192637544501073,Si O Si,169.47649852613176
147,112 158 174,1.88438849047927,1.58058670775135,3.159394755885009,Si O Si,131.31345675540317
148,115 114 117,1.6286265629443768,1.616073134336774,3.074416011545077,Si O Si,142.7103642412421
150,115 131 163,1.6126816664612427,1.5989431055614893,2.967207246377198,Si O Si,135.00449390334154
151,115 160 169,1.641548500316426,1.6185917506324659,2.9653277517879397,Si O Si,130.89086217890122
154,117 119 127,1.6580538592777003,1.6277105654167185,3.243849438960194,Si O Si,161.67620127919514
155,117 129 138,1.6251279476199696,1.5966223841229183,3.119813865806164,Si O Si,151.09615397254666
158,121 136 154,1.6180594665819237,1.5987002413954199,3.030738879460222,Si O Si,140.83819267021084
159,121 159 169,1.5751784643662838,1.5746779288243526,3.0908289599540315,Si O Si,157.78073139560604
160,123 122 133,1.6295087324269142,1.6222038526260434,2.9592843866344287,Si O Si,131.02977859269654
161,123 126 127,1.638098523224906,1.6541505563532344,3.2331945623696567,Si O Si,158.26276036396678
162,123 162 167,1.616673103291936,1.6213134502159778,2.9388947694418635,Si O Si,130.35975788962864
163,123 183 215,1.6398734169090907,1.6381140129189824,3.134082839090247,Si O Si,145.9197225700387
165,125 124 133,1.6310191360306452,1.5974775903028062,3.0041934447039256,Si O Si,137.03083194619018
167,125 148 147,1.6228140113473355,1.5936369474794874,3.120415079592176,Si O Si,151.92623219674184
174,133 128 167,1.6399082261021134,1.6335964707236696,3.001957233404577,Si O Si,132.99611263089878
175,133 137 140,1.6246297163253085,1.6255956859490672,3.0813871198695257,Si O Si,142.90250840911185
177,138 135 157,1.5951653872644147,1.5804218658815339,3.103271399851181,Si O Si,155.49781941854997
178,138 141 142,1.6161152122709295,1.6186836766061168,3.045873117314856,Si O Si,140.6425955559606
179,138 145 151,1.6202120732285057,1.6138199961793933,3.1497304288944394,Si O Si,153.77821331733574
181,140 143 142,1.5994053067232825,1.6195655129374482,3.0803690433162587,Si O Si,146.25005731181415
182,140 149 213,1.600042539968093,1.601248414739196,2.9750230897616543,Si O Si,136.65806134021628
183,140 152 205,1.6114491270548807,1.6115049189418928,2.958375786933411,Si O Si,133.2443172187005
184,142 139 154,1.6256921144391536,1.6237444000820744,3.190283685470097,Si O Si,158.10159556873538
187,142 146 147,1.6111042854094142,1.620742709419741,3.0539762786952105,Si O Si,141.80480585389984
