,Index,Bond length 1,Bond length 2,Length 3,Bond name
147,41 85 206,3.249153638,2.979338275,5.366522304,Si Si Si
148,41 85 213,3.249153638,3.053891249,5.549138919,Si Si Si
149,100 52 53,3.202911391,3.190904405,5.757110001,Si Si Si
150,151 52 53,3.049476671,3.190904405,5.201028575,Si Si Si
151,52 53 81,3.190904405,3.020579519,4.90754348,Si Si Si
152,52 53 127,3.190904405,3.048736019,5.561090532,Si Si Si
153,151 52 100,3.049476671,3.202911391,4.538989919,Si Si Si
154,52 100 88,3.202911391,2.999212824,4.515327649,Si Si Si
155,52 100 212,3.202911391,3.010868837,5.818197614,Si Si Si
156,52 100 215,3.202911391,3.097466016,5.637905667,Si Si Si
157,52 151 138,3.049476671,3.149730429,5.166272088,Si Si Si
158,52 151 156,3.049476671,3.154287729,5.52374312,Si Si Si
159,52 151 205,3.049476671,3.03542963,4.470173557,Si Si Si
160,127 53 81,3.048736019,3.020579519,5.114392031,Si Si Si
161,53 81 64,3.020579519,3.12086727,5.329438674,Si Si Si
162,53 81 87,3.020579519,2.997100091,4.984246821,Si Si Si
163,53 81 176,3.020579519,3.055946917,3.954717582,Si Si Si
164,53 127 117,3.048736019,3.243849439,5.431393433,Si Si Si
165,53 127 123,3.048736019,3.233194562,5.173399121,Si Si Si
166,65 63 64,3.156161815,2.99332382,4.480200527,Si Si Si
167,87 63 64,3.258818285,2.99332382,4.178510775,Si Si Si
168,63 64 68,2.99332382,2.922007237,5.077360404,Si Si Si
169,63 64 81,2.99332382,3.12086727,4.166270126,Si Si Si
170,63 64 163,2.99332382,3.121477774,5.364159195,Si Si Si
171,87 63 65,3.258818285,3.156161815,5.816726964,Si Si Si
172,63 65 70,3.156161815,3.186990042,5.339946459,Si Si Si
173,63 65 83,3.156161815,3.049890045,5.144667288,Si Si Si
174,63 65 185,3.156161815,3.027391636,5.595038464,Si Si Si
175,63 87 81,3.258818285,2.997100091,4.166270126,Si Si Si
176,63 87 88,3.258818285,3.13752432,5.036915033,Si Si Si
177,63 87 196,3.258818285,3.013636147,5.749969787,Si Si Si
178,81 64 68,3.12086727,2.922007237,5.197631637,Si Si Si
179,163 64 68,3.121477774,2.922007237,4.653947254,Si Si Si
180,64 68 70,2.922007237,2.954782967,4.689996111,Si Si Si
181,64 68 77,2.922007237,2.975066767,3.94422446,Si Si Si
182,64 68 215,2.922007237,3.156180386,5.266067763,Si Si Si
183,163 64 81,3.121477774,3.12086727,5.165049623,Si Si Si
184,64 81 87,3.12086727,2.997100091,4.178510775,Si Si Si
185,64 81 176,3.12086727,3.055946917,5.705892711,Si Si Si
186,64 163 115,3.121477774,2.967207246,5.184801057,Si Si Si
187,64 163 174,3.121477774,3.089988446,5.055444177,Si Si Si
188,83 65 70,3.049890045,3.186990042,3.986059168,Si Si Si
189,185 65 70,3.027391636,3.186990042,5.203690546,Si Si Si
190,65 70 68,3.186990042,2.954782967,4.740900921,Si Si Si
191,65 70 80,3.186990042,3.099702295,4.494315113,Si Si Si
192,185 65 83,3.027391636,3.049890045,4.293786145,Si Si Si
193,65 83 75,3.049890045,3.180440025,4.793750339,Si Si Si
194,65 83 80,3.049890045,2.927829847,4.494315113,Si Si Si
195,65 83 170,3.049890045,3.074601281,5.296612119,Si Si Si
196,65 185 166,3.027391636,3.059259029,4.853838067,Si Si Si
197,65 185 206,3.027391636,2.995888164,5.354101882,Si Si Si
198,77 68 70,2.975066767,2.954782967,4.983469208,Si Si Si
199,215 68 70,3.156180386,2.954782967,4.749736552,Si Si Si
200,68 70 80,2.954782967,3.099702295,5.338356509,Si Si Si
201,215 68 77,3.156180386,2.975066767,5.532075302,Si Si Si
202,68 77 75,2.975066767,2.844396623,4.216293847,Si Si Si
203,68 77 96,2.975066767,2.937943775,4.552037961,Si Si Si
204,68 215 100,3.156180386,3.097466016,4.718394772,Si Si Si
205,68 215 123,3.156180386,3.134082839,5.20294978,Si Si Si
206,68 215 187,3.156180386,3.199396687,5.008974412,Si Si Si
207,70 80 83,3.099702295,2.927829847,3.986059168,Si Si Si
208,70 80 86,3.099702295,3.088573675,4.738828797,Si Si Si
209,70 80 213,3.099702295,2.902072461,5.439213545,Si Si Si
210,83 75 77,3.180440025,2.844396623,5.595647795,Si Si Si
211,86 75 77,2.896098684,2.844396623,4.700875747,Si Si Si
212,75 77 96,2.844396623,2.937943775,4.502722947,Si Si Si
213,86 75 83,2.896098684,3.180440025,4.373118529,Si Si Si
214,75 83 80,3.180440025,2.927829847,3.970021834,Si Si Si
215,75 83 170,3.180440025,3.074601281,5.557877597,Si Si Si
216,75 86 80,2.896098684,3.088573675,3.970021834,Si Si Si
217,75 86 90,2.896098684,2.911435563,5.512465171,Si Si Si
218,75 86 190,2.896098684,3.018010983,5.037342618,Si Si Si
219,77 96 88,2.937943775,3.000621314,5.334261545,Si Si Si
220,77 96 212,2.937943775,2.873660242,4.741090446,Si Si Si
221,86 80 83,3.088573675,2.927829847,4.373118529,Si Si Si
222,213 80 83,2.902072461,2.927829847,5.587908516,Si Si Si
223,80 83 170,2.927829847,3.074601281,5.295539994,Si Si Si
224,213 80 86,2.902072461,3.088573675,4.110147583,Si Si Si
225,80 86 90,3.088573675,2.911435563,5.233542912,Si Si Si
226,80 86 190,3.088573675,3.018010983,5.825432658,Si Si Si
227,80 213 85,2.902072461,3.053891249,5.020567236,Si Si Si
228,80 213 140,2.902072461,2.97502309,5.574675046,Si Si Si
229,80 213 202,2.902072461,3.187097276,4.530063225,Si Si Si
230,176 81 87,3.055946917,2.997100091,5.357027018,Si Si Si
231,81 87 88,2.997100091,3.13752432,5.457280403,Si Si Si
232,81 87 196,2.997100091,3.013636147,5.403098786,Si Si Si
233,81 176 157,3.055946917,2.757753389,5.164281617,Si Si Si
234,81 176 166,3.055946917,2.908056385,5.313179462,Si Si Si
235,81 176 200,3.055946917,3.176914017,4.988955951,Si Si Si
236,83 170 166,3.074601281,3.030854867,3.865207388,Si Si Si
237,83 170 169,3.074601281,2.960943128,5.191827668,Si Si Si
238,83 170 174,3.074601281,2.980957991,5.144637304,Si Si Si
239,206 85 90,2.979338275,3.023493434,4.359487966,Si Si Si
240,213 85 90,3.053891249,3.023493434,4.759727357,Si Si Si
241,85 90 86,3.023493434,2.911435563,4.460825576,Si Si Si
242,85 90 88,3.023493434,2.884161245,5.12611177,Si Si Si
243,85 90 190,3.023493434,2.9565143,5.160360379,Si Si Si
244,213 85 206,3.053891249,2.979338275,4.813055489,Si Si Si
245,85 206 157,2.979338275,3.072135282,5.31566448,Si Si Si
246,85 206 185,2.979338275,2.995888164,4.845605207,Si Si Si
247,85 206 200,2.979338275,3.06635395,5.504560659,Si Si Si
248,85 213 140,3.053891249,2.97502309,4.642406944,Si Si Si
249,85 213 202,3.053891249,3.187097276,4.840641319,Si Si Si
250,190 86 90,3.018010983,2.911435563,2.9565143,Si Si Si
251,86 90 88,2.911435563,2.884161245,4.469484463,Si Si Si
252,86 90 190,2.911435563,2.9565143,3.018010983,Si Si Si
