,Index,Name,Bond length 1,Bond length 2,Bond length 3,Dihedral Angles
623,125 148 147 150,Si O Si O,1.6228140113473355,1.5936369474794874,1.620498178634236,136.83499397578188
624,126 123 122 133,O Si O Si,1.638098523224906,1.6295087324269142,1.6222038526260434,112.76814203015886
625,126 123 162 167,O Si O Si,1.638098523224906,1.616673103291936,1.6213134502159778,-144.88750386116254
626,126 123 183 215,O Si O Si,1.638098523224906,1.6398734169090907,1.6381140129189824,-151.14885780727735
627,127 119 117 129,Si O Si O,1.6277105654167185,1.6580538592777003,1.6251279476199696,23.65374086720089
628,127 126 123 162,Si O Si O,1.6541505563532344,1.638098523224906,1.616673103291936,11.652969385423985
629,127 126 123 183,Si O Si O,1.6541505563532344,1.638098523224906,1.6398734169090907,131.91516928427686
630,128 133 137 140,O Si O Si,1.6399082261021134,1.6246297163253085,1.6255956859490672,-45.78723706729353
631,128 167 164 166,O Si O Si,1.6335964707236696,1.60874757635863,1.6048954774666142,173.6606715527963
632,128 167 178 187,O Si O Si,1.6335964707236696,1.6133467342130428,1.6278038092299973,-49.37119070931831
633,129 138 135 157,O Si O Si,1.5966223841229183,1.5951653872644147,1.5804218658815339,-96.84959328116231
634,129 138 141 142,O Si O Si,1.5966223841229183,1.6161152122709295,1.6186836766061168,141.58646549141196
635,129 138 145 151,O Si O Si,1.5966223841229183,1.6202120732285057,1.6138199961793933,120.71123289859815
636,131 115 160 169,O Si O Si,1.6126816664612427,1.641548500316426,1.6185917506324659,-137.2834830023715
637,131 163 175 174,O Si O Si,1.5989431055614893,1.5958810740981937,1.6311530286805296,-21.139812293706168
638,132 185 161 206,O Si O Si,1.5985694399385348,1.6048686697184245,1.6024413322051867,77.87555217154811
639,132 185 179 166,O Si O Si,1.5985694399385348,1.610803300124217,1.5983481081777553,-18.610632487428294
640,133 122 123 162,Si O Si O,1.6222038526260434,1.6295087324269142,1.616673103291936,-2.2080764472981174
641,133 122 123 183,Si O Si O,1.6222038526260434,1.6295087324269142,1.6398734169090907,-114.99975097531289
642,133 124 125 134,Si O Si O,1.5974775903028062,1.6310191360306452,1.6424806983141234,-61.52359572256469
643,133 124 125 148,Si O Si O,1.5974775903028062,1.6310191360306452,1.6228140113473355,52.716793731257816
644,133 128 167 162,Si O Si O,1.6399082261021134,1.6335964707236696,1.6213134502159778,6.920877946272561
645,133 128 167 164,Si O Si O,1.6399082261021134,1.6335964707236696,1.60874757635863,-113.26700187636264
646,133 128 167 178,Si O Si O,1.6399082261021134,1.6335964707236696,1.6133467342130428,126.80995790281267
647,133 137 140 143,Si O Si O,1.6246297163253085,1.6255956859490672,1.5994053067232825,-113.54421187365169
648,133 137 140 149,Si O Si O,1.6246297163253085,1.6255956859490672,1.600042539968093,10.425191877851619
649,133 137 140 152,Si O Si O,1.6246297163253085,1.6255956859490672,1.6114491270548807,127.66135606828978
650,134 125 148 147,O Si O Si,1.6424806983141234,1.6228140113473355,1.5936369474794874,119.34961189107814
651,135 138 141 142,O Si O Si,1.5951653872644147,1.6161152122709295,1.6186836766061168,-100.42991817666946
