,dr,index,name
715,2.99921282432364,88 100,Si Si
716,1.6028746442569706,88 102,Si O
717,1.6235058801975821,88 103,Si O
718,1.5925456446899584,88 107,Si O
719,3.396960563108958,88 212,Si Si
720,2.810785161515969,89 47,O O
721,2.7962015444941772,89 76,O O
722,2.4177775599326154,89 91,O O
723,1.6403311224672308,89 96,O Si
724,2.551596292947666,89 101,O O
725,2.625998186655898,89 103,O O
726,2.7349712524892635,89 188,O O
727,2.710390433213332,89 208,O O
728,1.618705854117524,89 212,O Si
729,3.023493433974839,90 85,Si Si
730,2.911435562983989,90 86,Si Si
731,2.8841612449932024,90 88,Si Si
732,1.6179700202059797,90 93,Si O
733,1.614743042422612,90 104,Si O
734,1.5966998948457407,90 106,Si O
735,1.5870533458954321,90 107,Si O
736,2.9565142999001144,90 190,Si Si
737,2.6919402957373517,91 31,O O
738,2.966997965347455,91 47,O O
739,2.4177775599326154,91 89,O O
740,2.475939644562725,91 94,O O
741,2.508278060184673,91 102,O O
742,2.8587073866303867,91 103,O O
743,2.683148590505997,91 188,O O
744,1.6028691290099746,91 196,O Si
745,2.502736530609547,91 197,O O
746,2.5733167790224347,91 208,O O
747,1.6132264494305995,91 212,O Si
748,2.5992072243155118,92 51,O O
749,1.6164229692593004,92 85,O Si
750,2.7080885802086105,92 106,O O
751,2.6234530427464673,92 149,O O
752,2.682936124369785,92 199,O O
753,2.605498044211725,92 201,O O
754,2.6409188021510923,92 204,O O
755,1.621776855799016,92 213,O Si
756,1.6179700202059797,93 90,O Si
757,2.6309549533455603,93 104,O O
758,2.7266091004349082,93 106,O O
759,2.622252821277376,93 107,O O
760,2.561412846002005,93 108,O O
761,2.751840602036944,93 189,O O
